grp	N	S	n	s	dnds	fn	fs
0	19825	2662	348	59	0	17.5535939470366	22.1637866265965
1	42611	6045	676	114	0.0087	15.864448147192	18.8585607940447
2	48406	7941	817	160	0.0215	16.8780729661612	20.1485958947236
3	48181	9393	816	207	0.03315	16.9361366513771	22.0376876397317
4	51225	10734	877	244	0.04465	17.1205466081015	22.7315073597913
5	54434	12431	957	228	0.05685	17.5809236874013	18.341243665031
6	50653	11638	903	226	0.0711	17.8271770674985	19.4191441828493
7	46103	11288	862	236	0.08685	18.6972648200768	20.9071580439405
8	52744	13885	997	261	0.1019	18.9026239951464	18.7972632337054
9	51448	14161	940	278	0.1215	18.2708754470533	19.6313819645505
10	49555	14411	939	276	0.1413	18.9486429220059	19.1520366386788
11	50457	15137	872	315	0.1661	17.2820421348871	20.80993591861
12	48373	15241	930	337	0.1930	19.2256010584417	22.1114100124664
13	45361	15022	915	270	0.2275	20.1715129736999	17.9736386632938
14	42810	14229	883	300	0.2671	20.6260219574866	21.0837022981235
15	43692	15002	916	286	0.3156	20.9649363727914	19.0641247833622
16	38899	13739	738	279	0.38445	18.9722100825214	20.3071548147609
17	35221	13065	801	232	0.46715	22.7421140796684	17.7573670110984
18	35133	13250	735	266	0.58905	20.9205020920502	20.0754716981132
19	21205	8142	449	181	0.74325	21.1742513558123	22.2304102186195
