grp	N	S	n	s	dnds	fn	fs
0	20785	2958	412	57	0.0000	19.8219870098629	19.2697768762677
1	41255	5621	637	108	0.0088	15.4405526602836	19.2136630492795
2	49297	8114	747	156	0.0216	15.1530519098525	19.2260290855312
3	48468	9399	826	198	0.0333	17.0421721548238	21.066070858602
4	50484	10343	871	224	0.0445	17.2529910466683	21.6571594314996
5	55097	12544	931	252	0.057	16.8974717316732	20.0892857142857
6	50329	11472	938	252	0.07095	18.6373661308589	21.9665271966527
7	47458	11547	839	236	0.0859	17.6787896666526	20.4382090586299
8	53358	14029	989	239	0.1019	18.5351774804153	17.0361394254758
9	50988	14025	984	265	0.1215	19.2986585078842	18.8948306595365
10	48886	14300	923	277	0.14135	18.8806611299759	19.3706293706294
11	50825	15224	972	313	0.1661	19.1244466305952	20.5596426694693
12	48061	15180	960	322	0.1929	19.9746155926843	21.2121212121212
13	45482	15050	905	309	0.2277	19.8979816191021	20.531561461794
14	43091	14376	839	292	0.2665	19.4704230581792	20.3116304952699
15	43845	15082	896	268	0.3154	20.4356254989166	17.7695265879857
16	38976	13732	775	261	0.38445	19.8840311986864	19.0066996795805
17	35307	13098	750	224	0.46415	21.2422465799983	17.1018476103222
18	34903	13172	750	276	0.5892	21.4881242300089	20.9535378074704
19	21475	8277	470	197	0.74325	21.8859138533178	23.8008940437357
