grp	N	S	n	s	dnds	fn	fs
0	19921	2695	350	67	0.0000	17.5693991265499	24.860853432282
1	42840	5968	655	104	0.0089	15.2894491129785	17.426273458445
2	48193	7885	716	138	0.02155	14.8569294295852	17.5015852885225
3	48786	9502	811	211	0.0333	16.623621530767	22.2058513997053
4	50489	10631	887	238	0.0444	17.568183168611	22.387357727401
5	54906	12473	949	209	0.0571	17.2840855279933	16.7561933776958
6	50938	11673	943	244	0.07085	18.5127017158114	20.9029384048659
7	46280	11316	862	254	0.0866	18.6257562662057	22.4460940261577
8	52535	13857	978	267	0.102	18.6161606548016	19.2682398787616
9	51098	14117	895	287	0.1215	17.5153626365024	20.3300984628462
10	49802	14469	976	280	0.14145	19.5976065218264	19.351717464925
11	50757	15183	928	305	0.166	18.2831924660638	20.0882566027794
12	49221	15403	926	327	0.1929	18.8131082261636	21.2296305914432
13	45537	15059	946	304	0.2276	20.7743153918791	20.1872634305067
14	42954	14244	876	289	0.2668	20.3939097639335	20.2892445942151
15	43636	15053	914	289	0.3153	20.946007883399	19.1988307978476
16	38444	13610	766	253	0.38315	19.9250858391426	18.5892725936811
17	35512	13126	792	232	0.4637	22.3023203424195	17.6748438214231
18	34819	13165	709	237	0.58935	20.3624457910911	18.0022787694645
19	21253	8242	478	192	0.7426	22.4909424551828	23.295316670711
