grp	N	S	n	s	dnds	fn	fs
0	19107	2689	356	66	0	18.631915004972	24.5444403123838
1	42402	5969	652	114	0.0089	15.3766331776803	19.0986764952253
2	49106	8075	770	151	0.02155	15.6803649248564	18.6996904024768
3	47284	9198	728	200	0.0331	15.3963285678031	21.7438573602957
4	51197	10683	931	238	0.04475	18.1846592573784	22.2783862210989
5	54507	12481	945	259	0.0570	17.3372227420331	20.7515423443634
6	51217	11660	926	215	0.0709	18.0799343967823	18.4391080617496
7	46915	11372	913	238	0.0859	19.4607268464244	20.928596552937
8	52456	13837	984	290	0.1019	18.7585786182706	20.958300209583
9	51438	14144	947	282	0.1215	18.4105136280571	19.9377828054299
10	49162	14301	904	270	0.1413	18.388185997315	18.8797986154814
11	51352	15298	973	307	0.16605	18.9476553980371	20.0679827428422
12	47949	15154	941	306	0.1923	19.6250182485558	20.1926883991025
13	45676	15206	919	299	0.2275	20.119975479464	19.6632908062607
14	43736	14490	897	313	0.2662	20.5094201573075	21.6011042097999
15	43780	15034	906	278	0.315	20.6943809958885	18.4914194492484
16	39104	13781	782	277	0.38455	19.9979541734861	20.1001378709818
17	34827	12913	784	227	0.4661	22.5112699916731	17.5791837682955
18	34721	13158	668	256	0.5889	19.239077215518	19.4558443532452
19	21488	8301	451	208	0.7561	20.9884586746091	25.0572220214432
