grp	N	S	n	s	dnds	fn	fs
0	19987	2737	344	52	0	17.2111872717266	18.9989039093898
1	42108	5908	656	132	0.0089	15.5789873658212	22.342586323629
2	49477	8085	793	162	0.02145	16.0276492107444	20.0371057513915
3	48700	9446	799	185	0.0332	16.4065708418891	19.5850095278425
4	51209	10597	903	212	0.04475	17.6336190903943	20.0056619798056
5	54947	12537	950	239	0.0569	17.2893879556664	19.0635718273909
6	50539	11611	973	243	0.0707	19.252458497398	20.9284299371286
7	47347	11519	830	224	0.0859	17.530149745496	19.4461324767775
8	52653	13820	932	266	0.1019	17.7007957761191	19.2474674384949
9	51029	14038	929	282	0.12155	18.2053342217171	20.0883316711782
10	49255	14377	922	276	0.1416	18.7189117856055	19.1973290672602
11	50675	15106	912	288	0.16615	17.9970399605328	19.0652720773203
12	48068	15120	941	349	0.1930	19.5764333860364	23.0820105820106
13	45821	15187	1029	291	0.2273	22.4569520525523	19.1611246460789
14	43008	14334	888	281	0.26655	20.6473214285714	19.60373936096
15	43623	14981	856	251	0.3152	19.6226761112257	16.7545557706428
16	38564	13583	775	246	0.3846	20.096463022508	18.1108738864757
17	35313	13094	770	244	0.4646	21.8050009911364	18.6344890789675
18	34985	13202	722	244	0.5895	20.6374160354438	18.482048174519
19	21121	8156	461	190	0.74635	21.8266180578571	23.2957332025503
