grp	N	S	n	s	dnds	fn	fs
0	19997	2647	375	50	0	18.7528129219383	18.8893086513034
1	41219	5894	658	128	0.0088	15.963511972634	21.7170003393281
2	49568	8114	748	152	0.0215	15.0903808908974	18.733053980774
3	48040	9345	744	210	0.0333	15.4870940882598	22.4719101123595
4	51588	10682	891	249	0.0447	17.271458478716	23.3102415278038
5	54402	12437	961	264	0.0567	17.664791735598	21.2269839993568
6	50480	11678	968	234	0.07105	19.175911251981	20.037677684535
7	47050	11409	866	216	0.0868	18.4059511158342	18.932421772285
8	52472	13865	1022	273	0.1019	19.4770544290288	19.6898665705013
9	51328	14111	924	279	0.1217	18.0018703241895	19.7718092268443
10	48902	14231	979	286	0.1413	20.0196310989326	20.0969714004638
11	51118	15282	944	300	0.1661	18.4670761766892	19.6309383588536
12	47878	15102	930	322	0.1929	19.4243702744476	21.3216792477817
13	46024	15283	931	314	0.2275	20.2285763949244	20.5457043774128
14	43477	14457	854	295	0.26695	19.6425696345194	20.4053399737152
15	43139	14842	878	266	0.3149	20.3528129998377	17.9221129227867
16	38609	13630	764	270	0.38475	19.7881323007589	19.8092443140132
17	35359	13129	763	238	0.4661	21.5786645549931	18.1278086678346
18	34806	13156	715	245	0.5896	20.5424352123197	18.6226816661599
19	21231	8230	425	196	0.7433	20.0178983561773	23.8153098420413
