grp	N	S	n	s	dnds	fn	fs
0	19409	2661	356	74	0.0000	18.3420062857437	27.8090943254416
1	41461	5861	669	108	0.0086	16.1356455464171	18.4268896092817
2	49491	8139	736	175	0.0216	14.8713907579156	21.5014129499939
3	49134	9530	828	209	0.03335	16.8518744657467	21.9307450157398
4	49686	10431	864	262	0.04485	17.389204202391	25.1174384047551
5	54351	12410	920	250	0.0569	16.9270114625306	20.1450443190975
6	50700	11669	931	238	0.0712	18.3629191321499	20.3959208158368
7	46235	11309	816	214	0.0861	17.648967232616	18.9229816959943
8	52720	13944	995	282	0.1019	18.8732928679818	20.223752151463
9	51385	14157	944	262	0.1215	18.3711199766469	18.5067457794731
10	48987	14340	968	286	0.14145	19.7603445812154	19.9442119944212
11	50588	15223	933	313	0.16585	18.4431090377165	20.5609932339224
12	48611	15279	923	321	0.1929	18.9874719713645	21.0092283526409
13	45445	15117	906	282	0.2275	19.9361865991858	18.6544949394721
14	43256	14395	903	270	0.2662	20.8757166635842	18.7565126780132
15	43067	14890	871	271	0.3156	20.2243016694917	18.2001343183345
16	38847	13672	779	268	0.38475	20.053028547893	19.6021064950263
17	35423	13158	764	254	0.46465	21.5679078564774	19.3038455692354
18	34901	13187	717	274	0.58975	20.5438239591989	20.7780389777811
19	21491	8332	485	172	0.7379	22.5675864315295	20.6433029284686
