grp	N	S	n	s	dnds	fn	fs
0	20306	2830	351	66	0	17.2855313700384	23.321554770318
1	42133	5789	652	120	0.0089	15.4748059715662	20.7289687338055
2	48723	8094	776	142	0.0216	15.9267696980892	17.5438596491228
3	47897	9328	805	205	0.0333	16.8068981355826	21.9768439108062
4	51370	10551	894	233	0.04465	17.4031535915904	22.0832148611506
5	54832	12554	957	253	0.0569	17.4533119346367	20.1529393022144
6	50031	11538	940	249	0.0708	18.7883512222422	21.5808632345294
7	46460	11326	883	220	0.0859	19.0055962117951	19.4243333921949
8	52898	13956	1006	294	0.1019	19.0177322394041	21.0662080825451
9	50572	13932	889	265	0.1215	17.5788974135885	19.0209589434396
10	49299	14383	906	278	0.14155	18.3776547191627	19.328373774595
11	51107	15313	960	276	0.1661	18.7841195922281	18.023901260367
12	48241	15196	932	324	0.193	19.3196658444062	21.321400368518
13	45783	15157	951	285	0.2274	20.7719022344538	18.8031932440457
14	42156	13976	851	267	0.2673	20.1869247556694	19.1041785918718
15	43462	14961	861	296	0.3158	19.8104090930008	19.7847737450705
16	38568	13640	795	256	0.38475	20.6129433727442	18.7683284457478
17	35483	13113	795	249	0.4646	22.4050953977961	18.9887897506291
18	35436	13330	744	257	0.5895	20.995597697257	19.2798199549887
19	21655	8395	455	188	0.7433	21.0113137843454	22.3942823108993
